Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
205,Idukki,Dean Kuriakose,हायबी ईडन,Indian National Congress,,,Kerala
206,Kottayam,Francis George,डीन कुरियाकोस,Kerala Congress,,,Kerala
207,Alappuzha,K. C. Venugopal,फ्रांसिस जॉर्ज,Indian National Congress,,,Kerala
208,Mavelikara (SC),Kodikkunnil Suresh,के॰सी॰ वेणुगोपाल,Indian National Congress,,,Kerala
209,Pathanamthitta,Anto Antony,कोडिकुन्नील सुरेश,Indian National Congress,,,Kerala
210,Kollam,N. K. Premachandran,एंटो एंटनी,Revolutionary Socialist Party (India),,,Kerala
211,Attingal,Adoor Prakash,एन॰के॰ प्रेमचन्द्रन,Indian National Congress,,,Kerala
212,Thiruvananthapuram,Shashi Tharoor,अदूर प्रकाश,Indian National Congress,,,Kerala
213,Ladakh,Mohmad Haneefa,मोहम्मद हनीफा,Independent,,,Ladakh
214,Lakshadweep,Muhammed Hamdulla Sayeed,मोहम्मद हमदुल्ला सईद,Indian National Congress,,,Lakshadweep
215,Morena,Shivmangal Singh Tomar,शिवमंगल सिंह तोमर,Bharatiya Janata Party,,,Madhya Pradesh
216,Bhind (SC),Sandhya Ray,संध्या राय,Bharatiya Janata Party,,,Madhya Pradesh
217,Gwalior,Bharat Singh Kushwah,भारत सिंह कुशवाह,Bharatiya Janata Party,,,Madhya Pradesh
218,Guna,Jyotiraditya Scindia,ज्योतिरादित्य सिंधिया,Bharatiya Janata Party,,,Madhya Pradesh
219,Sagar,Lata Wankhede,लता वानखेड़े,Bharatiya Janata Party,,,Madhya Pradesh
220,Tikamgarh (SC),Virendra Kumar Khatik,वीरेंद्र कुमार खटीक,Bharatiya Janata Party,,,Madhya Pradesh
221,Damoh,Rahul Lodhi,राहुल लोधी,Bharatiya Janata Party,,,Madhya Pradesh
222,Khajuraho,V. D. Sharma,विष्‍णु दत्‍त शर्मा,Bharatiya Janata Party,,,Madhya Pradesh
223,Satna,Ganesh Singh,गणेश सिंह,Bharatiya Janata Party,,,Madhya Pradesh
